GenBank_Accessions,Strain,Isolation_Country,Host,Collection_Date,Segment,Subtype
MT277374,A/swine/Iowa/A02479129/2020,USA,Pig,3/12/20,4,H1N1
MT277463,A/swine/Minnesota/A02479112/2020,USA,Pig,2/29/20,4,H1N1
MT277487,A/swine/Indiana/A02479119/2020,USA,Pig,3/5/20,4,H1N2
MT367647,A/swine/North Carolina/A02479173/2020,USA,Pig,3/25/20,4,H1N1
MT372514,A/swine/Minnesota/A02245535/2020,USA,Pig,3/19/20,4,H1N1
MT372516,A/swine/Oklahoma/A02245577/2020,USA,Pig,3/24/20,4,H1N2
MT372540,A/swine/Minnesota/A02245570/2020,USA,Pig,3/31/20,4,H1N1
MT476197,A/swine/Minnesota/A02479265/2020,USA,Pig,4/27/20,4,H1N1
MT476211,A/swine/Iowa/A02479262/2020,USA,Pig,4/17/20,4,H1N2
MT548939,A/swine/Texas/A02245632/2020,USA,Pig,4/30/20,4,H1N1
MT554113,A/swine/Iowa/A02479301/2020,USA,Pig,5/1/20,4,H1N1
MT572860,A/swine/Wisconsin/A02479334/2020,USA,Pig,5/11/20,4,H1N1
MT572876,A/swine/Iowa/A02479326/2020,USA,Pig,5/12/20,4,H1N2
MT572878,A/swine/Utah/A02479329/2020,USA,Pig,5/11/20,4,H1N2
MT644556,A/swine/Oklahoma/A02245656/2020,USA,Pig,5/21/20,4,H1N1
MT644570,A/swine/Iowa/A02479375/2020,USA,Pig,5/27/20,4,H1N2
MT644590,A/swine/Iowa/A02479374/2020,USA,Pig,5/28/20,4,H1N2
MT644592,A/swine/Iowa/A02479373/2020,USA,Pig,5/27/20,4,H1N2
MT754384,A/swine/Indiana/A02524436/2020,USA,Pig,6/16/20,4,H1N1
MT754390,A/swine/Utah/A02524432/2020,USA,Pig,6/15/20,4,H1N2
MT772154,A/swine/Minnesota/A02524457/2020,USA,Pig,6/19/20,4,H1N2
MT877212,A/swine/Kansas/A02245678/2020,USA,Pig,7/2/20,4,H1N2
MT877220,A/swine/Minnesota/A02245679/2020,USA,Pig,7/2/20,4,H1N2
MT921558,A/swine/Iowa/A02524511/2020,USA,Pig,7/30/20,4,H1N2
MT921562,A/swine/Illinois/A02524514/2020,USA,Pig,7/31/20,4,H1N2
MT932832,A/swine/Missouri/A02524523/2020,USA,Pig,7/23/20,4,H1N2
MT932848,A/swine/Minnesota/A02524500/2020,USA,Pig,7/17/20,4,H1N1
MT982669,A/swine/Iowa/A02524534/2020,USA,Pig,8/12/20,4,H1N2
MT982667,A/swine/Illinois/A02524528/2020,USA,Pig,8/7/20,4,H1N2
MT994406,A/swine/Ohio/A02524552/2020,USA,Pig,8/19/20,4,H1N1
MW022522,A/swine/Minnesota/A02245685/2020,USA,Pig,8/12/20,4,H1N1
MW023639,A/swine/Iowa/A02524571/2020,USA,Pig,8/26/20,4,H1N1
MW072905,A/swine/Indiana/A02524615/2020,USA,Pig,9/8/20,4,H1N1
MW075246,A/swine/Kansas/A02245718/2020,USA,Pig,9/21/20,4,H1N2
MW075254,A/swine/Oklahoma/A02245702/2020,USA,Pig,8/28/20,4,H1N1
MW075260,A/swine/Minnesota/A02245710/2020,USA,Pig,9/4/20,4,H1N2
MW127112,A/swine/Iowa/A02524648/2020,USA,Pig,9/22/20,4,H1N1
MW127136,A/swine/Iowa/A02524640/2020,USA,Pig,9/17/20,4,H1N2
MW127144,A/swine/Illinois/A02524641/2020,USA,Pig,9/18/20,4,H1N1
MW127162,A/swine/Indiana/A02524661/2020,USA,Pig,9/22/20,4,H1N1
MW173192,A/swine/Indiana/A02524670/2020,USA,Pig,9/25/20,4,H1N2
MW173206,A/swine/Iowa/A02524677/2020,USA,Pig,9/29/20,4,H1N2
MW181608,A/swine/Colorado/A02245733/2020,USA,Pig,10/6/20,4,H1N2
MW221285,A/swine/Iowa/A02524736/2020,USA,Pig,10/13/20,4,H1N2
MW266871,A/swine/Minnesota/A02524756/2020,USA,Pig,10/16/20,4,H1N1
MW266879,A/swine/Wisconsin/A02524765/2020,USA,Pig,10/21/20,4,H1N2
MW290423,A/swine/Minnesota/A02524803/2020,USA,Pig,10/27/20,4,H1N1
MW320421,A/swine/Iowa/A02524863/2020,USA,Pig,11/4/20,4,H1N2
MW320443,A/swine/Illinois/A02524860/2020,USA,Pig,11/3/20,4,H1N2
MW338890,A/swine/Minnesota/A02524883/2020,USA,Pig,11/6/20,4,H1N2
MW338904,A/swine/Indiana/A02524877/2020,USA,Pig,11/5/20,4,H1N2
OL840600,A/swine/Minnesota/A02246987/2021,USA,Pig,11/4/21,4,H1N2
OL840608,A/swine/Iowa/A02246979/2021,USA,Pig,10/19/21,4,H1N1
OL840610,A/swine/Minnesota/A02246986/2021,USA,Pig,11/3/21,4,H1N1
OL840614,A/swine/Minnesota/A02246978/2021,USA,Pig,10/18/21,4,H1N1
OM065780,A/swine/Indiana/A01812319/2021,USA,Pig,12/4/21,4,H1N2
OM315106,A/swine/Minnesota/A02246906/2021,USA,Pig,12/27/21,4,H1N2
OM319906,A/swine/Texas/A01104151/2021,USA,Pig,9/10/21,4,H1N2
OM504683,A/swine/Iowa/A02636295/2021,USA,Pig,10/1/21,4,H1N1
OK384166,A/swine/Oklahoma/A02248197/2021,USA,Pig,9/15/21,4,H1N1
OK384172,A/swine/Minnesota/A02248196/2021,USA,Pig,9/3/21,4,H1N1
OK384180,A/swine/Indiana/A02248189/2021,USA,Pig,8/18/21,4,H1N1
OK384188,A/swine/Minnesota/A02248191/2021,USA,Pig,9/1/21,4,H1N1
